VELO-X,VELO-Y,VELO-Z,DFT321
-0.51,0,0.78,12.09734682
-0.51,0,0.78,27.27783166
-0.51,0,0.78,16.53290658
-0.51,0,0.78,12.56596196
-0.48,0,0.81,33.08999244
-0.48,0,0.81,31.76225905
-0.48,0,0.81,-26.85445773
-0.48,0,0.81,15.44753055
-0.48,0,0.81,16.1157935
-0.48,0,0.81,12.87906829
-0.48,0,0.81,13.69361165
-0.48,0,0.81,13.3069944
-0.48,0,0.81,100.1013052
-0.48,0,0.81,47.62271937
-0.46,0,0.83,-47.49286367
-0.46,0,0.83,-20.53987829
-0.46,0,0.83,9.333386309
-0.46,0,0.83,13.94805004
0,0,0,13.11735873
0,0,0,-13.42651854
0,0,0,29.709586
0,0,0,13.70734839
0,0,0,-48.73232295
0,0,0,11.94771108
0,0,0,13.46013744
-0.4,0,0.89,18.17178582
-0.4,0,0.89,-18.89406785
-0.4,0,0.89,19.79628753
-0.4,0,0.89,13.81579169
-0.4,0,0.89,-84.08964324
-0.4,0,0.89,3.584884935
-0.4,0,0.89,29.15527568
-0.4,0,0.89,17.39180554
-0.4,0,0.89,29.33560806
-0.4,0,0.89,31.66041851
-0.33,0,0.9,-62.13844301
-0.33,0,0.9,21.23949858
-0.33,0,0.9,22.62756284
-0.33,0,0.9,43.41217341
-0.33,0,0.9,35.88000279
-0.33,0,0.9,13.74524645
-0.33,0,0.9,23.93678759
-0.33,0,0.9,24.94578321
-0.33,0,0.9,-38.72025439
-0.32,0,0.9,-19.42235053
-0.32,0,0.9,-23.93277251
-0.32,0,0.9,-15.30072221
-0.32,0,0.9,12.48909124
-0.32,0,0.9,13.0511034
-0.3,0.02,0.89,9.798030414
-0.3,0.02,0.89,9.720205759
-0.3,0.02,0.89,11.7028928
-0.3,0.02,0.89,11.24424742
-0.3,0.02,0.89,9.200244562
-0.3,0.02,0.89,9.190462448
-0.3,0.02,0.89,151.6865195
-0.3,0.02,0.89,-46.82653628
-0.3,0.02,0.89,41.36416565
-0.29,0.03,0.88,-18.84270681
-0.29,0.03,0.88,15.98971544
-0.29,0.03,0.88,18.73897276
-0.29,0.03,0.88,10.29825713
-0.29,0.03,0.88,14.38546836
-0.22,-0.01,0.91,14.1291401
-0.22,-0.01,0.91,17.28662489
-0.22,-0.01,0.91,17.76248012
-0.22,-0.01,0.91,23.36343725
-0.22,-0.01,0.91,8.628962858
-0.22,-0.01,0.91,7.437244113
-0.22,-0.01,0.91,10.4078528
-0.22,-0.01,0.91,44.67005597
-0.22,-0.01,0.91,15.04320777
-0.18,-0.01,0.91,14.12465575
-0.18,-0.01,0.91,11.62226312
-0.18,-0.01,0.91,10.96038777
-0.15,-0.02,0.9,-18.25518556
-0.15,-0.02,0.9,8.510381895
-0.15,-0.02,0.9,20.19054482
-0.15,-0.02,0.9,-92.03688011
-0.15,-0.02,0.9,-35.89286001
-0.15,-0.02,0.9,12.42145724
-0.15,-0.02,0.9,8.87827686
-0.15,-0.02,0.9,208.3725579
-0.11,-0.01,0.9,-17.73016638
-0.11,-0.01,0.9,33.18838803
-0.11,-0.01,0.9,14.10336485
-0.11,-0.01,0.9,13.2865383
-0.11,-0.01,0.9,14.50688457
-0.11,0,0.88,-16.89728381
-0.11,0,0.88,7.86361876
-0.08,0.01,0.86,12.14964197
-0.08,0.01,0.86,15.61190251
-0.08,0.01,0.86,14.90463351
-0.08,0.01,0.86,11.47275468
-0.08,0.01,0.86,-23.46987218
-0.08,0.01,0.86,12.5257894
-0.08,0.01,0.86,8.356572264
-0.08,0.01,0.86,19.77878156
-0.08,0.01,0.86,14.51485446
-0.06,0.01,0.84,6.127846277
0,0,0.82,29.023363
0,0,0.82,7.85906483
0,0,0.82,11.16277295
0,0,0.82,-15.42508995
0,0,0.82,9.753173842
0,0,0.82,16.73149425
0,0,0.82,22.6288621
0,0,0.82,-21.14085381
0,0,0.82,28.04860424
0,0,0.82,20.69779698
0,0,0.82,29.16523444
0.03,0,0.79,9.367715837
0.03,0,0.79,-30.05632047
0.03,0,0.79,-33.87642396
0.03,0,0.79,44.21477129
0.03,0,0.79,20.19054482
0.03,0,0.79,56.06416413
0.03,0,0.79,-15.75451047
0.03,0,0.79,35.66168392
0.03,0,0.79,22.65813099
0.03,0,0.79,-10.43099708
0.03,0,0.79,-11.50256058
0.03,0,0.79,-20.32395877
0.05,0.01,0.76,15.0177162
0.05,0.01,0.76,11.09267777
0.05,0.01,0.76,10.6720476
0.05,0.01,0.76,13.20945873
0.06,0.02,0.74,40.46972202
0.06,0.02,0.74,18.67898016
0.06,0.02,0.74,10.79650869
0.06,0.02,0.74,-15.00293638
0.06,0.02,0.74,-14.4858172
0.06,0.02,0.74,12.49359836
0.06,0.02,0.74,-22.87973339
0.06,0.02,0.74,-5.768136614
0.08,0.01,0.72,10.86003683
0.08,0.01,0.72,27.21483786
0.08,0.01,0.72,-8.060434231
0.08,0.01,0.72,24.09873233
0.1,0,0.7,11.87897723
0.1,0,0.7,21.45838065
0.1,0,0.7,-28.44931282
0.1,0,0.7,-10.45399923
0.1,0,0.7,8.152122423
0.1,0,0.7,6.070856612
0.1,0,0.7,38.66724454
0.1,0,0.7,13.9228194
0.12,0,0.67,21.16602466
0.12,0,0.67,12.39255018
0.12,0,0.67,94.61596377
0.12,0,0.67,32.94005768
0.12,0,0.67,-26.76089124
0.12,0.01,0.63,-18.10116018
0.12,0.01,0.63,16.79655024
0.12,0.02,0.61,99.43471577
0.12,0.02,0.61,-20.28515221
0.12,0.02,0.61,58.18963825
0.12,0.02,0.61,5.315872459
0.12,0.02,0.61,20.86458722
0.12,0.02,0.61,-20.18380044
0.12,0.02,0.61,-24.26161577
0.12,0.02,0.61,-13.88296078
0.12,0.02,0.61,20.23715642
0.13,0.01,0.58,51.95632204
