VELO-X,VELO-Y,VELO-Z,DFT321
-0.52,0.01,-0.70,-14.904714019396684
-0.52,0.02,-0.68,36.267876188176785
-0.51,0.03,-0.69,8.103144362101538
-0.48,0.02,-0.71,8.421750507792293
-0.45,0.01,-0.72,3.7791073305440523
-0.45,0.02,-0.71,10.866907881896637
-0.36,0.00,-0.74,10.751344802397798
-0.35,0.02,-0.72,22.941111423888557
-0.36,0.02,-0.73,9.97166485598067
-0.33,0.01,-0.72,25.389133782959213
-0.29,0.00,-0.72,-9.30892572159528
-0.27,0.00,-0.71,-7.452994206167982
-0.27,0.01,-0.69,6.888540133831781
-0.26,0.02,-0.68,-19.724037333811467
-0.23,0.02,-0.67,4.778472718337207
-0.20,0.00,-0.63,20.18010873188668
-0.13,-0.02,-0.64,31.985714568842628
-0.11,-0.02,-0.62,27.460523945984185
-0.10,-0.01,-0.59,12.735117767999261
-0.10,0.01,-0.57,5.915837159703209
-0.09,0.02,-0.55,5.280610967231959
-0.09,0.04,-0.53,46.76762444141303
-0.07,0.03,-0.52,10.389923893872226
-0.01,0.00,-0.52,12.222417962744835
0.01,-0.01,-0.47,9.943710101730996
0.00,0.00,-0.46,14.901794698122396
0.01,0.00,-0.45,18.205828041222844
0.01,0.00,-0.42,6.8142902757402055
0.03,0.00,-0.40,7.080206545592051
0.03,0.00,-0.38,16.810959847048775
0.03,0.00,-0.34,12.610917959192825
0.03,-0.01,-0.30,13.643372153415271
0.02,0.00,-0.28,11.696507018435332
0.01,-0.01,-0.20,10.118389634162266
0.02,-0.01,-0.17,11.492983830092557
0.02,-0.01,-0.13,11.702583567350041
0.02,-0.01,-0.09,10.86329922127434
0.02,-0.01,-0.06,10.568675909026235
0.01,-0.01,-0.02,10.904778700288622
0.01,0.00,0.03,12.031584937709946
0.00,0.00,0.09,11.280438003473957
0.00,-0.01,0.23,15.421452070108582
0.00,-0.01,0.34,17.875746802980935
0.01,-0.02,0.44,21.03992786518512
0.02,-0.02,0.52,16.96774838576176
0.02,-0.01,0.57,17.043970503065026
0.02,-0.01,0.61,23.253444291567632
0.04,-0.02,0.64,14.682396571854829
0.07,-0.03,0.70,7.480520112387869
0.09,-0.03,0.72,-40.19350733543787
0.10,-0.03,0.75,38.02804580346626
0.02,0.06,0.75,-8.877483437431419
0.18,-0.01,0.85,-20.234650735803235
0.16,-0.01,0.86,44.227960748243945
0.30,-0.10,0.86,25.787586065718823
0.25,0.03,0.79,7.624995749741926
0.20,0.03,0.80,11.20600030671424
0.19,0.04,0.81,32.211899755462085
0.29,-0.03,0.85,-31.79867519125548
0.37,-0.10,0.88,14.55919464486967
0.40,-0.05,0.82,17.644021053199616
0.36,0.02,0.82,13.56537134071047
0.39,0.03,0.85,22.434924038703148
0.47,-0.04,0.86,0.8727507897865472
0.53,0.01,0.82,37.79434598663811
0.57,-0.01,0.82,20.40723493067385
0.57,-0.01,0.83,-1.7172199730414839
0.58,-0.01,0.82,-1.4664118489295677
0.61,-0.01,0.81,-27.35523646844605
0.65,-0.01,0.76,2.6204580541914346
0.65,0.01,0.76,22.782366420427174
0.70,-0.03,0.73,-7.918522524012232
0.72,-0.04,0.69,6.944658991784714
0.73,-0.02,0.67,-2.653643284913062
0.72,0.01,0.66,7.2048022549361885
0.71,0.02,0.65,39.03718076614666
0.74,-0.01,0.60,-5.0472925032412475
0.75,-0.01,0.57,13.24593900031251
0.75,0.00,0.51,3.9035414288076633
0.74,0.01,0.47,13.838335773867968
0.74,0.00,0.45,13.449435790199203
0.74,-0.02,0.37,47.45676682605887
