TEXLOG: 10.71, -55.71, 5.82, -0.40,0.02,0.31
TEXLOG: 5.20, -7.35, -5.51, -0.40,0.02,0.31
TEXLOG: 9.18, 4.90, 9.49, -0.40,0.02,0.31
TEXLOG: 6.43, -1.22, 12.24, -0.40,0.02,0.31
TEXLOG: 4.90, 8.26, 14.08, -0.40,0.02,0.31
TEXLOG: 6.43, 6.73, -0.92, -0.40,0.02,0.31
TEXLOG: 8.88, 6.43, 6.12, -0.42,-0.01,0.38
TEXLOG: 10.41, -16.83, 20.51, -0.42,-0.01,0.38
TEXLOG: 7.65, 15.61, -6.43, -0.42,-0.01,0.38
TEXLOG: 11.94, 4.59, 12.24, -0.42,-0.01,0.38
TEXLOG: 7.04, 5.20, 7.65, -0.43,-0.04,0.44
TEXLOG: 7.35, -2.75, -1.53, -0.44,-0.04,0.47
TEXLOG: 8.88, 15.92, 4.90, -0.44,-0.04,0.47
TEXLOG: 6.73, -21.12, -5.82, -0.44,-0.04,0.47
TEXLOG: 10.41, 3.67, 1.84, -0.44,-0.04,0.47
TEXLOG: 12.24, 6.43, 3.98, -0.44,-0.04,0.47
TEXLOG: 8.88, 10.41, -2.75, -0.44,-0.04,0.47
TEXLOG: 12.86, -5.20, 14.69, -0.44,-0.04,0.47
TEXLOG: 6.73, 12.86, -6.73, -0.44,-0.04,0.47
TEXLOG: 8.26, 4.29, 0.31, -0.44,-0.04,0.47
TEXLOG: 11.63, 14.08, -3.67, -0.44,-0.04,0.47
TEXLOG: 7.65, -10.10, 9.79, -0.44,-0.04,0.47
TEXLOG: 2.45, -34.59, 26.02, -0.44,-0.04,0.47
TEXLOG: 12.24, 16.83, 16.53, -0.48,-0.02,0.53
TEXLOG: 10.41, 0.00, 9.79, -0.48,-0.02,0.53
TEXLOG: 6.73, -6.43, 18.36, -0.48,-0.02,0.53
TEXLOG: 0.61, 1.53, 9.79, -0.48,-0.02,0.53
TEXLOG: 13.47, -26.93, 44.07, -0.48,-0.02,0.53
TEXLOG: 5.82, 10.41, -15.61, -0.49,-0.01,0.55
TEXLOG: 7.65, -0.92, -0.61, -0.49,-0.01,0.55
TEXLOG: 5.82, 12.55, 0.00, -0.49,-0.01,0.55
TEXLOG: 19.59, -48.05, 104.98, -0.49,-0.01,0.55
TEXLOG: 1.84, 49.28, -36.42, -0.49,-0.01,0.55
TEXLOG: 12.55, -4.29, 10.71, -0.49,-0.01,0.55
TEXLOG: 3.37, 22.96, -13.77, -0.49,-0.01,0.55
TEXLOG: 9.18, 14.39, -7.04, -0.49,-0.01,0.55
TEXLOG: 11.63, 6.43, -5.51, -0.50,0.01,0.57
TEXLOG: 7.96, 12.24, -10.41, -0.50,0.01,0.57
TEXLOG: 9.18, 5.20, -5.20, -0.50,0.01,0.57
TEXLOG: 8.57, 0.61, -1.53, -0.50,0.01,0.57
TEXLOG: 8.26, 0.92, -2.45, -0.50,0.01,0.57
TEXLOG: 9.18, -1.22, 0.61, -0.50,0.01,0.57
TEXLOG: 8.88, -3.06, 0.92, -0.50,0.01,0.57
TEXLOG: 7.96, -2.45, -1.84, -0.50,0.01,0.57
TEXLOG: 7.96, 0.92, -1.22, -0.52,0.04,0.54
TEXLOG: 8.26, 0.00, 2.14, -0.52,0.04,0.54
TEXLOG: 8.57, -1.84, 4.59, -0.52,0.04,0.54
TEXLOG: 8.57, 0.61, 3.67, -0.52,0.04,0.54
TEXLOG: 8.57, 0.31, 3.98, -0.54,0.04,0.59
TEXLOG: 7.96, 0.61, 4.90, -0.55,0.01,0.64
TEXLOG: 9.49, 4.59, 7.35, -0.55,0.01,0.64
TEXLOG: 29.69, -17.75, 156.40, -0.55,0.01,0.64
TEXLOG: 8.88, 10.10, -7.35, -0.55,0.01,0.64
TEXLOG: 7.35, 4.29, -16.53, -0.55,0.01,0.64
TEXLOG: 10.71, 0.00, -7.65, -0.55,0.01,0.64
TEXLOG: 9.79, 13.77, -7.65, -0.55,0.01,0.64
TEXLOG: 5.51, -21.12, 28.16, -0.55,0.01,0.64
TEXLOG: 5.20, 9.79, 7.65, -0.55,0.01,0.64
TEXLOG: 8.57, 4.59, 0.92, -0.55,0.01,0.64
TEXLOG: 6.12, -18.36, 9.49, -0.55,0.01,0.64
TEXLOG: 9.49, -6.43, 12.24, -0.50,-0.05,0.72
TEXLOG: 5.51, 12.24, 6.73, -0.49,-0.06,0.74
TEXLOG: 9.49, 5.20, -3.06, -0.49,-0.06,0.74
TEXLOG: 11.02, 18.36, 5.51, -0.49,-0.06,0.74
TEXLOG: 9.49, 35.50, -11.02, -0.49,-0.06,0.74
TEXLOG: 23.87, -9.18, 0.00, -0.49,-0.06,0.74
TEXLOG: 10.71, 8.57, -37.95, -0.49,-0.06,0.74
TEXLOG: 16.22, -3.37, -1.22, -0.49,-0.06,0.74
TEXLOG: 3.37, 15.61, -3.37, -0.49,-0.06,0.74
TEXLOG: 8.26, -8.57, 2.75, -0.49,-0.06,0.74
TEXLOG: 14.69, -6.12, 7.65, -0.49,-0.06,0.74
TEXLOG: 7.96, 2.75, -10.41, -0.49,-0.05,0.76
TEXLOG: 31.53, 17.14, 19.28, -0.50,-0.02,0.77
TEXLOG: 2.45, -7.04, -26.93, -0.50,-0.02,0.77
TEXLOG: 18.06, 3.67, 1.53, -0.50,-0.02,0.77
TEXLOG: 1.53, -24.18, -12.55, -0.50,-0.02,0.77
TEXLOG: 9.18, -9.18, 1.22, -0.50,-0.02,0.77
TEXLOG: 14.69, -0.92, 17.45, -0.51,0.00,0.78
TEXLOG: 5.82, 0.92, -6.43, -0.51,0.00,0.78
TEXLOG: 8.88, 7.35, 10.10, -0.51,0.00,0.78
TEXLOG: 5.51, -7.04, -1.22, -0.51,0.00,0.78
TEXLOG: 7.96, 6.43, -4.29, -0.51,0.00,0.78
TEXLOG: 10.10, 2.75, -3.37, -0.51,0.00,0.78
TEXLOG: 9.18, 3.98, -17.75, -0.51,0.00,0.78
TEXLOG: 8.88, 3.67, 7.35, -0.51,0.00,0.78
TEXLOG: 9.49, -17.14, 18.98, -0.51,0.00,0.78
TEXLOG: 14.08, 7.35, 4.59, -0.51,0.00,0.78
TEXLOG: 11.32, 4.29, -3.37, -0.51,0.00,0.78
TEXLOG: 18.36, 13.16, 24.18, -0.48,0.00,0.81
TEXLOG: 23.87, 20.51, -4.29, -0.48,0.00,0.81
TEXLOG: 2.45, 2.45, -26.63, -0.48,0.00,0.81
TEXLOG: 9.49, 2.45, -11.94, -0.48,0.00,0.81
TEXLOG: 8.88, 8.88, -10.10, -0.48,0.00,0.81
TEXLOG: 8.88, 6.12, -7.04, -0.48,0.00,0.81
